,book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,language_code,average_rating,ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
57,58,2956,2956,1835605,2277,142437174,9780142437180.0,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,eng,3.8,953758,12448,28467,76630,255722,344356,296316
58,59,24178,24178,987048,180,64410935,9780064410940.0,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,eng,4.15,1064521,13044,18450,41124,191415,346090,487763
59,60,1618,1618,4259809,183,1400032717,9781400032720.0,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,eng,3.85,867553,35796,21049,58117,218218,355925,262481
60,61,22557272,22557272,41107568,14,1594633665,9781594633670.0,Paula Hawkins,2015.0,The Girl on the Train,eng,3.88,1008778,93600,27773,73897,273817,488447,362551
61,62,119322,119322,1536771,287,679879242,9780679879240.0,Philip Pullman,1995.0,Northern Lights,eng,3.94,953970,14915,38382,64591,198764,313147,380030
62,63,6185,6185,1565818,2498,393978893,9780393978900.0,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,eng,3.82,899195,26157,46469,84084,215320,309180,346082
63,64,10917,10917,1639903,125,743454537,9780743454540.0,Jodi Picoult,2004.0,My Sister's Keeper,eng,4.06,863879,30719,17547,42763,162573,314003,350994
64,65,4981,4981,1683562,241,385333846,9780385333850.0,Kurt Vonnegut Jr.,1969.0,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",eng,4.06,846488,19646,24964,45518,152442,300948,367890
65,66,18405,18405,3358283,409,446675539,9780446675540.0,Margaret Mitchell,1936.0,Gone with the Wind,eng,4.28,873981,16050,19996,33136,116160,234290,493721
66,67,128029,128029,3271379,197,1594489505,9781594489500.0,Khaled Hosseini,2007.0,A Thousand Splendid Suns,eng,4.34,818742,43645,6509,18015,99030,295817,446694
67,68,22628,22628,2236198,128,671027344,9780671027350.0,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,eng,4.21,888806,47116,14286,38658,143440,297501,461020
68,69,11735983,11735983,15524542,164,7442912,9780007442910.0,Veronica Roth,2012.0,Insurgent,eng,4.07,836362,55873,10641,44620,182131,339977,369969
69,70,375802,375802,2422333,224,812550706,9780812550700.0,Orson Scott Card,1985.0,Ender's Game,eng,4.3,813439,38054,15330,27612,103439,264207,462829
70,71,18490,18490,4836639,2618,141439475,9780141439470.0,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,"Frankenstein; or, The Modern Prometheus",eng,3.75,808589,19993,29366,74142,231022,300495,248538
71,72,11588,11588,849585,289,450040186,9780450040180.0,Stephen King,1977.0,The Shining,eng,4.17,791850,14936,18487,28981,123862,277393,382158
72,73,1656001,1656001,3328799,161,316068047,9780316068050.0,Stephenie Meyer,2008.0,The Host,en-US,3.84,749780,39778,44215,62501,154906,227180,288758
73,74,99561,99561,919292,187,142402516,9780142402510.0,John Green,2005.0,Looking for Alaska,eng,4.09,783470,47128,16940,44232,147324,262932,359857
74,75,227443,227443,3185154,193,014028009X,9780140280100.0,Helen Fielding,1996.0,Not Available,eng,3.75,736498,8157,28973,59309,198555,254836,212825
75,76,14935,14935,2809709,1969,141439661,9780141439660.0,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,eng,4.06,738894,11526,18430,34699,141987,272512,311754
76,77,38709,38709,1679789,138,439244196,9780439244190.0,"Louis Sachar, Louis Sachar",1998.0,Holes,eng,3.93,747445,15832,15495,43786,176946,269153,259257
77,78,5139,5139,38765,129,307275558,9780307275550.0,Lauren Weisberger,2003.0,The Devil Wears Prada,eng,3.7,665930,8024,24231,58323,192366,226675,178250
78,79,1381,1381,3356006,1703,143039954,9780143039950.0,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,Ὀδύσσεια,eng,3.73,670326,8101,29703,65629,183082,224120,208223
79,80,157993,157993,2180358,1708,156012197,9780156012200.0,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,Le Petit Prince,eng,4.28,738757,24537,15039,32866,114714,228440,468227
80,81,7445,7445,2944133,92,074324754X,9780743247540.0,Jeannette Walls,2005.0,The Glass Castle,eng,4.24,621099,40777,7901,18922,85191,227750,298102
81,82,1845,1845,3284484,108,385486804,9780385486800.0,Jon Krakauer,1996.0,Into the Wild,eng,3.94,647684,17299,19229,35567,135199,248287,227095
82,83,1953,1953,2956372,525,141439602,9780141439600.0,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,eng,3.81,637412,13093,28904,55555,153305,216378,223571
83,84,7677,6424171,3376836,176,030734813X,9780307348140.0,Michael Crichton,1990.0,Jurassic Park,spa,3.96,447833,8143,15736,34222,138327,231583,230615
84,85,370493,370493,30530,81,60256656,9780060256650.0,Shel Silverstein,1964.0,The Giving Tree,eng,4.38,702332,14368,15345,20408,76071,167542,428921
85,86,32542,32542,1804929,158,385338600,9780385338610.0,John Grisham,1989.0,A Time to Kill,eng,4.03,597775,4239,12106,25938,122675,218617,229488
86,87,1617,1617,265616,109,374500010,9780374500020.0,"Elie Wiesel, Marion Wiesel",1958.0,Un di Velt Hot Geshvign,eng,4.3,691231,22001,7761,18539,90575,230227,360777
87,88,6442769,6442769,3364505,178,014241493X,9780142414930.0,John Green,2008.0,Paper Towns,en-US,3.88,461311,42717,14105,47183,154479,223895,215609
88,89,21787,21787,992628,129,345418263,9780345418260.0,William Goldman,1973.0,The Princess Bride,en-US,4.25,628637,15630,12883,21641,89236,196047,338235
89,90,231804,231804,1426690,156,014038572X,9780140385720.0,S.E. Hinton,1967.0,The Outsiders,en-US,4.06,659248,22662,10178,34346,134244,227250,274419
90,91,6186357,6186357,6366642,147,385737947,9780385737940.0,James Dashner,2009.0,The Maze Runner,eng,4.02,719925,48942,15291,43370,150488,266698,302109
91,92,1202,1202,5397,124,61234001,9780061234000.0,"Steven D. Levitt, Stephen J. Dubner",2005.0,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,en-US,3.93,524191,13668,14586,26538,115789,216316,176072
92,93,2998,2998,3186437,1350,517189607,9780517189600.0,Frances Hodgson Burnett,1911.0,The Secret Garden,eng,4.12,639357,13054,8005,25207,129646,243821,285570
93,94,320,320,3295655,555,60531045,9780060531040.0,"Gabriel García Márquez, Gregory Rabassa",1967.0,Cien años de soledad,eng,4.04,490565,21671,27340,37646,87675,155809,267197
94,95,5297,5297,1858012,2303,375751513,9780375751520.0,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,eng,4.06,590014,19647,9825,30735,129420,246892,257679
95,96,13536860,13536860,18034963,133,345803507,9780345803500.0,E.L. James,2012.0,Fifty Shades Freed,eng,3.88,387290,25287,39079,55691,109963,140304,265079
96,97,17245,17245,3165724,2207,393970124,9780393970130.0,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,eng,3.98,618973,17263,11756,36719,151396,246043,243825
97,98,5060378,5060378,6976108,209,307269981,9780307269980.0,"Stieg Larsson, Reg Keeland",2006.0,Flickan som lekte med elden,eng,4.22,563994,31423,4623,15781,91021,258236,279592
98,99,11857408,11857408,16813814,147,1612130585,9781612130580.0,E.L. James,2011.0,Fifty Shades Darker,eng,3.87,552059,28052,37245,58935,114203,150906,262051
99,100,7244,7244,810663,39,60786507,9780060786500.0,Barbara Kingsolver,1998.0,The Poisonwood Bible,eng,4.02,546502,19941,21699,33702,92590,175725,239071
100,101,4137,4137,1030767,59,349113912,9780349113910.0,David Sedaris,2000.0,Me Talk Pretty One Day,eng,3.97,495736,14982,19718,29034,93427,178021,194076
101,102,19543,19543,3020535,110,99408392,9780099408390.0,Maurice Sendak,1963.0,Where the Wild Things Are,eng,4.22,620618,9102,15392,27532,93700,167043,332394
102,103,7126,7126,391568,1310,140449264,9780140449270.0,"Alexandre Dumas, Robin Buss",1844.0,Le Comte de Monte-Cristo,eng,4.21,555822,15925,10381,22482,89980,183142,295235
103,104,6288,6288,3355573,181,307265439,9780307265430.0,Cormac McCarthy,2006.0,The Road,eng,3.95,504793,38980,20086,36561,100989,190823,207328
104,105,18710190,18710190,15524549,153,7524277,9780007524270.0,Veronica Roth,2013.0,Allegiant,eng,3.63,463257,62536,31626,78366,176061,192785,184388
105,106,9418327,9418327,14302659,48,Not Available,Not Available,Tina Fey,2011.0,Bossypants,eng,3.94,506250,35142,14842,31761,129390,230080,203187
106,107,3473,3473,3143497,131,446693804,9780446693810.0,Nicholas Sparks,1999.0,A Walk to Remember,en-US,4.15,546948,11071,10640,24094,94327,169650,260870
107,108,9416,9416,3237433,144,440241413,9780440241420.0,Sophie Kinsella,2000.0,Confessions of a Shopaholic,eng,3.61,543658,11170,30705,56949,156636,166927,146787
108,109,24280,24280,3208463,1319,451525264,9780451525260.0,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,Les Misérables,eng,4.14,513407,12505,15225,25914,87461,167385,264147
109,110,10572,10572,3272005,202,553381695,9780553381700.0,George R.R. Martin,1998.0,A Clash of Kings,eng,4.4,523303,20325,1788,7104,56167,221706,320000
110,111,10441,10441,2868431,98,143037145,9780143037150.0,Kim Edwards,2005.0,The Memory Keeper's Daughter,eng,3.64,501430,18027,19453,47004,145437,183150,115538
111,112,15507958,15507958,17763198,168,670026603,9780670026610.0,Jojo Moyes,2012.0,Me Before You,eng,4.27,587647,71412,10346,21880,91517,249474,367916
112,113,168668,168668,814330,251,684833395,9780684833390.0,Joseph Heller,1961.0,Catch-22,en-US,3.98,563265,13734,20639,37912,106269,186745,230950
113,114,6900,6900,1995335,172,751529818,9780751529810.0,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,eng,4.06,556518,19272,11507,30534,107446,194448,240462
114,115,2187,2187,1352495,125,312422156,9780312422160.0,Jeffrey Eugenides,2002.0,Middlesex,en-US,3.98,488243,20880,19329,30503,89740,171099,197327
115,116,24583,24583,41326609,2448,143039563,9780143039560.0,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,eng,3.89,555359,7165,12130,34349,143659,217896,186192
116,117,18131,18131,948387,165,440498058,9780440498060.0,Madeleine L'Engle,1962.0,A Wrinkle in Time,en-US,4.04,615907,19413,17313,34988,119115,209745,268933
117,118,7763,7763,1955658,126,143038095,9780143038090.0,Amy Tan,1989.0,The Joy Luck Club,eng,3.9,515090,6708,14802,30197,116748,195930,167566
118,119,38447,38447,1119185,236,038549081X,9780385490820.0,Margaret Atwood,1985.0,The Handmaid's Tale,eng,4.06,607889,35925,13998,32561,116975,252942,267088
119,120,452306,452306,1058370,93,385729332,9780385729340.0,Ann Brashares,2001.0,The Sisterhood of the Traveling Pants,eng,3.75,525706,6477,14996,42396,152024,177404,149784
120,121,7604,7604,1268631,370,Not Available,Not Available,"Vladimir Nabokov, Craig Raine",1955.0,Lolita,eng,3.88,469836,18107,21091,37205,108664,165477,185553
121,122,37442,37442,1479280,80,60987103,9780060987110.0,"Gregory Maguire, Douglas Smith",1995.0,Wicked: The Life and Times of the Wicked Witch of the West,eng,3.52,506900,22926,40802,65835,132061,153583,133217
122,123,5358,5358,38270,11,582418275,9780582418270.0,John Grisham,1991.0,The Firm,eng,3.99,488269,3139,5075,20119,111543,190966,160652
123,124,7937843,7937843,9585076,151,316098337,9780316098340.0,Emma Donoghue,2010.0,Room,eng,4.03,511360,42254,11020,26079,99831,217995,201402
124,125,1420,1420,1885548,1929,521618746,9780521618750.0,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,"The Tragicall Historie of Hamlet, Prince of Denmark",eng,4.0,515820,8889,10413,32697,121040,192937,219807
125,126,234225,234225,3634639,241,340839937,9780340839940.0,Frank Herbert,1965.0,Dune,eng,4.19,485032,13239,13354,22778,74206,154771,260867
126,127,2612,2612,2124255,100,316346624,9780316346630.0,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,490504,10895,15111,25871,106453,189120,162511
127,128,11084145,11084145,16005831,190,1451648537,9781451648540.0,Walter Isaacson,2011.0,Steve Jobs,eng,4.09,560715,15198,19680,21986,88456,203975,245159
128,129,332613,332613,2100252,275,451163966,9780451163970.0,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,eng,4.18,491642,7855,5672,15978,78714,191622,222472
129,130,2165,2165,69741,666,684830493,9780684830490.0,Ernest Hemingway,1952.0,The Old Man and the Sea,eng,3.73,520630,16716,28645,52583,136217,186747,170136
130,131,4395,18114322,2931549,381,142000663,9780142000660.0,John Steinbeck,1939.0,The Grapes of Wrath,eng,3.92,322321,12991,23552,40261,103475,173589,212475
131,132,3431,3431,2561472,123,1401308589,9781401308580.0,Mitch Albom,2003.0,The Five People You Meet in Heaven,Not Available,3.9,449501,16682,12360,33669,107800,155830,165040
132,133,8127,8127,3464264,1314,451528824,9780451528830.0,L.M. Montgomery,1908.0,Anne of Green Gables,eng,4.23,502247,14041,8864,19531,80256,158725,265976
133,134,3777732,3777732,3443248,122,1416914307,9781416914300.0,Cassandra Clare,2009.0,City of Glass,en-US,4.34,593173,22736,6646,17351,79202,179290,348071
134,135,62291,62291,1164465,175,055357342X,9780553573430.0,George R.R. Martin,2000.0,A Storm of Swords,eng,4.54,469022,19497,1456,4820,36418,149268,335682
135,136,137791,137791,1010054,75,006075995X,9780060759960.0,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,en-US,3.79,465676,3867,15795,35314,120396,158451,140552
136,137,10964,10964,2489796,189,440242940,9780440242950.0,Diana Gabaldon,1991.0,Outlander,eng,4.2,515547,36707,20998,27673,73126,147085,309960
137,138,12296,12296,4925227,1579,142437263,9780142437260.0,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,eng,3.37,509883,11428,34813,80444,182701,165079,96209
138,139,9460487,9460487,14345371,155,1594744769,9781594744760.0,Ransom Riggs,2011.0,Miss Peregrine’s Home for Peculiar Children,en-US,3.89,613674,53569,14920,45434,159227,234792,217849
139,140,6892870,6892870,12883496,193,030726999X,9780307270000.0,"Stieg Larsson, Reg Keeland",2007.0,Luftslottet som sprängdes,en-US,4.2,443951,26766,3823,14773,78387,203297,226511
140,141,18007564,18007564,21825181,148,804139024,9780804139020.0,Andy Weir,2012.0,The Martian,eng,4.39,423344,61298,4114,10856,49200,173861,291671
141,142,5043,5043,3359698,255,451207149,9780451207140.0,Ken Follett,1989.0,The Pillars of the Earth,eng,4.29,462517,26283,9248,16886,57825,148052,263882
142,143,18143977,18143977,25491300,139,1476746583,9781476746590.0,Anthony Doerr,2014.0,Not Available,eng,4.31,470001,53413,6209,14527,61020,185239,280832
143,144,8664353,8664353,12946965,16,1400064163,9781400064170.0,Laura Hillenbrand,2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4,487775,41572,10308,12874,47828,144203,313339
144,145,976,976,3135896,180,671027387,9780671027380.0,Dan Brown,2001.0,Deception Point,eng,3.67,455610,7798,14380,45006,143182,160819,116346
145,146,17333223,17333223,24065147,108,316055433,9780316055440.0,Donna Tartt,2013.0,The Goldfinch,eng,3.87,396756,44631,19164,35300,93459,153459,162465
146,147,1217100,29844228,2588213,150,1595141715,9781595141710.0,Jay Asher,2007.0,Thirteen Reasons Why,eng,4.02,463783,43467,15246,35668,105414,179197,235756
147,148,2865,2865,3358875,169,452287022,9780452287020.0,Tracy Chevalier,1999.0,Girl with a Pearl Earring,eng,3.85,467577,8011,11525,28287,123463,189656,139246
148,149,4374400,4374400,4422413,130,525421033,9780525421030.0,Gayle Forman,2009.0,If I Stay,en-US,3.96,503527,34959,12666,34896,122977,190793,205755
149,150,4989,4989,1041558,80,312353766,9780312353770.0,Anita Diamant,1997.0,The Red Tent,en-US,4.16,424981,17234,9470,19616,67878,146178,206075
150,151,28186,28186,43554,121,786856866,9780786856860.0,Rick Riordan,2006.0,The Sea of Monsters,eng,4.23,514932,20097,2967,13884,91127,188988,253546
151,152,5526,5526,3222389,111,446528056,9780446528050.0,Nicholas Sparks,2006.0,Dear John,en-US,4.01,441062,10626,9683,25220,94711,145202,179965
152,153,1582996,1582996,1575860,125,1416914293,9781416914300.0,Cassandra Clare,2008.0,City of Ashes,eng,4.21,541117,23643,6135,20075,92626,192934,274238
153,154,8852,8852,1896522,1732,743477103,9780743477110.0,William Shakespeare,1606.0,The Tragedy of Macbeth,eng,3.88,496018,7609,10551,35408,127354,183871,167642
154,155,15241,15241,2963845,453,618346260,9780618346260.0,J.R.R. Tolkien,1954.0,The Two Towers,en-US,4.42,480446,6980,3013,10264,55433,156232,307267
155,156,42156,42156,1789440,65,031232118X,9780312321180.0,Emily Giffin,2004.0,Something Borrowed,eng,3.83,403601,11567,16019,29297,104322,148507,137044
156,157,23772,23772,86934,72,394800168,9780394800160.0,"Dr. Seuss, לאה נאור",1960.0,Green Eggs and Ham,en-US,4.29,457475,7370,6605,14530,66873,121751,251282
157,158,6310,6310,2765786,338,142403881,9780142403880.0,"Roald Dahl, Quentin Blake",1964.0,Charlie and the Chocolate Factory,eng,4.1,453959,8473,6236,17193,94240,178216,198862
158,159,2120932,2120932,2377629,92,1423101464,9781423101470.0,Rick Riordan,2008.0,The Battle of the Labyrinth,eng,4.39,508214,14098,2435,8093,62108,172289,292783
159,160,2623,2623,2612809,1725,192833596,9780192833590.0,Charles Dickens,1860.0,Great Expectations,eng,3.75,459247,12311,22811,44293,120385,170702,148996
160,161,18512,18512,2964424,470,345339738,9780345339740.0,J.R.R. Tolkien,1955.0,The Return of the King,en-US,4.51,463959,6644,2691,8008,42693,132149,324996
